Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_per_90,Ast_per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,Matches,Team
Yılmaz Aktaş,GER,GK,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Ozan Demirbag,Unknown,MF,15.0,4,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
İzzet Çelik,Unknown,MF,19.0,5,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Breyton Fougeu,FRA,FW,19.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Florent Shehu,SUI,FW,21.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Samet Duyur,Unknown,FW,13.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Burhan Ersoy,Unknown,MF,20.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Deniz Donmezer,Unknown,Unknown,14.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Adana-Demirspor
Aslan Atay,Unknown,DF,18.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Adana-Demirspor
Murat Eser,Unknown,GK,18.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Adana-Demirspor
Caner Kaban,Unknown,MF,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Adana-Demirspor
Mustafa Kapı,TUR,MF,20.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Adana-Demirspor
Goran Karaćić,BIH,GK,26.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Adana-Demirspor
Osman Kaynak,Unknown,FW,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Adana-Demirspor
Squad Total,Unknown,Unknown,28.2,38,418,3420.0,38.0,53.0,30.0,83.0,45.0,8.0,8.0,81.0,8.0,1.39,0.79,2.18,1.18,1.97,Unknown,Adana-Demirspor
Opponent Total,Unknown,Unknown,27.8,38,418,3420.0,38.0,59.0,36.0,95.0,51.0,8.0,10.0,89.0,2.0,1.55,0.95,2.5,1.34,2.29,Unknown,Adana-Demirspor
Okan Kocuk,TUR,GK,28.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Carlo Holse,DEN,MF,24.0,33,33,2778.0,30.9,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,0.16,0.06,0.23,0.16,0.23,Matches,Samsunspor
Emre Kılınç,TUR,MF,28.0,33,32,2560.0,28.4,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches,Samsunspor
Rick van Drongelen,NED,DF,24.0,30,26,2394.0,26.6,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,Samsunspor
Ľubomír Šatka,SVK,DF,27.0,26,25,2208.0,24.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,Samsunspor
Marius Mouandilmadji,CHA,FW,26.0,30,25,2073.0,23.0,9.0,1.0,10.0,9.0,0.0,1.0,5.0,1.0,0.39,0.04,0.43,0.39,0.43,Matches,Samsunspor
Zeki Yavru,TUR,DF,31.0,28,23,2017.0,22.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches,Samsunspor
Youssef Aït Bennasser,MAR,MF,27.0,28,23,1902.0,21.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Samsunspor
Soner Gönül,TUR,DF,26.0,24,22,1930.0,21.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Samsunspor
Alim Öztürk,TUR,DF,30.0,25,22,1926.0,21.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,Samsunspor
Flavien Tait,FRA,MF,30.0,28,22,1678.0,18.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,Samsunspor
Taylan Antalyalı,TUR,MF,28.0,26,21,1767.0,19.6,2.0,1.0,3.0,0.0,2.0,2.0,3.0,0.0,0.1,0.05,0.15,0.0,0.05,Matches,Samsunspor
Olivier Ntcham,CMR,MF,27.0,27,19,1860.0,20.7,6.0,0.0,6.0,2.0,4.0,4.0,5.0,0.0,0.29,0.0,0.29,0.1,0.1,Matches,Samsunspor
Marc Bola,ENG,"DF,MF",25.0,20,12,1063.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Moryké Fofana,CIV,"MF,FW",31.0,27,10,1067.0,11.9,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.34,0.34,0.0,0.34,Matches,Samsunspor
Ercan Kara,AUT,"FW,MF",27.0,23,8,951.0,10.6,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.28,0.0,0.28,0.19,0.19,Matches,Samsunspor
Yunus Emre Çift,TUR,"DF,MF",19.0,10,8,644.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Kingsley Schindler,GHA,"DF,MF",30.0,17,7,790.0,8.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.11,0.11,0.23,0.11,0.23,Matches,Samsunspor
Mickaël Tirpan,BEL,"DF,MF",29.0,7,7,564.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Osman Çelik,TUR,MF,31.0,24,6,774.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Benito Raman,BEL,"MF,FW",28.0,11,6,435.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Landry Dimata,BEL,"FW,MF",25.0,19,5,641.0,7.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.28,0.0,0.28,0.28,0.28,Matches,Samsunspor
Arbnor Muja,ALB,"MF,FW",24.0,13,4,421.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,Samsunspor
Muhammed Gümüskaya,TUR,MF,22.0,11,4,348.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,Samsunspor
Haluk Tan,TUR,DF,18.0,8,4,339.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Soner Aydoğdu,TUR,MF,32.0,17,3,455.0,5.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.4,0.2,0.59,0.4,0.59,Matches,Samsunspor
Gaëtan Laura,Unknown,FW,27.0,8,2,326.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Jakub Szumski,POL,GK,31.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Muhammet Ali Özbaskıcı,TUR,MF,17.0,4,1,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Eulânio Ângelo Chipela Gomes,GNB,"DF,FW",29.0,5,0,55.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,1.64,0.0,1.64,Matches,Samsunspor
Enes Albak,TUR,DF,18.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Douglas Tanque,BRA,FW,29.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Berhan Deniz,Unknown,FW,18.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Samsunspor
Bedirhan Çetin,TUR,DF,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Samsunspor
Emre Köroğlu,Unknown,MF,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Samsunspor
Muammer Yıldırım,TUR,GK,32.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Samsunspor
Squad Total,Unknown,Unknown,27.7,38,418,3420.0,38.0,41.0,24.0,65.0,34.0,7.0,8.0,80.0,3.0,1.08,0.63,1.71,0.89,1.53,Unknown,Samsunspor
Opponent Total,Unknown,Unknown,28.1,38,418,3420.0,38.0,51.0,37.0,88.0,49.0,2.0,3.0,69.0,4.0,1.34,0.97,2.32,1.29,2.26,Unknown,Samsunspor
Bilal Bayazit,NED,GK,24.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Kayserispor
Gökhan Sazdağı,TUR,"DF,FW",28.0,34,33,2899.0,32.2,0.0,5.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,Kayserispor
Aylton Boa Morte,POR,"MF,FW",29.0,32,31,2620.0,29.1,8.0,2.0,10.0,8.0,0.0,0.0,7.0,0.0,0.27,0.07,0.34,0.27,0.34,Matches,Kayserispor
Miguel Filipe Nunes Cardoso,POR,"MF,FW",29.0,30,30,2508.0,27.9,1.0,7.0,8.0,1.0,0.0,0.0,4.0,0.0,0.04,0.25,0.29,0.04,0.29,Matches,Kayserispor
Kartal Yılmaz,TUR,MF,22.0,29,27,2402.0,26.7,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,0.07,0.07,0.0,0.07,Matches,Kayserispor
Lionel Carole,FRA,DF,32.0,28,25,2199.0,24.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Kayserispor
Joseph Larweh Attamah,GHA,DF,29.0,30,24,2168.0,24.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Kayserispor
Ali Karimi,IRN,MF,29.0,27,24,2032.0,22.6,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,Kayserispor
Arif Kocaman,TUR,DF,19.0,25,20,1725.0,19.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.05,0.05,0.0,0.05,Matches,Kayserispor
