Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_per_90,Ast_per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,Matches,Team
Alperen Kuyubaşı,Unknown,DF,23.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ankaragucu
Sirozhiddin Astanakulov,Unknown,FW,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Ankaragucu
Fatih Demir,Unknown,GK,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Ankaragucu
Abdurrahim Dursun,TUR,DF,24.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Ankaragucu
Doğukan Kaya,Unknown,DF,23.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Ankaragucu
Enes Tepecik,AUT,MF,19.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Ankaragucu
Squad Total,Unknown,Unknown,27.5,38,418,3420.0,38.0,45.0,30.0,75.0,41.0,4.0,5.0,67.0,3.0,1.18,0.79,1.97,1.08,1.87,Unknown,Ankaragucu
Opponent Total,Unknown,Unknown,28.1,38,418,3420.0,38.0,51.0,35.0,86.0,47.0,4.0,4.0,73.0,5.0,1.34,0.92,2.26,1.24,2.16,Unknown,Ankaragucu
Levent Mercan,GER,DF,22.0,36,35,3109.0,34.5,1.0,5.0,6.0,1.0,0.0,0.0,8.0,0.0,0.03,0.14,0.17,0.03,0.17,Matches,Fatih-Karagumruk
Marcus Rohdén,SWE,MF,32.0,34,29,2418.0,26.9,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,0.15,0.15,0.3,0.15,0.3,Matches,Fatih-Karagumruk
Davide Biraschi,ITA,DF,29.0,30,28,2572.0,28.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.03,0.03,0.0,0.03,Matches,Fatih-Karagumruk
Valentin Eysseric,FRA,MF,31.0,31,28,2409.0,26.8,5.0,7.0,12.0,5.0,0.0,0.0,9.0,1.0,0.19,0.26,0.45,0.19,0.45,Matches,Fatih-Karagumruk
Can Keles,AUT,"MF,FW",21.0,35,28,2261.0,25.1,5.0,3.0,8.0,5.0,0.0,0.0,3.0,0.0,0.2,0.12,0.32,0.2,0.32,Matches,Fatih-Karagumruk
Federico Ceccherini,ITA,DF,31.0,27,25,2051.0,22.8,1.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,0.04,0.0,0.04,0.04,0.04,Matches,Fatih-Karagumruk
Güven Yalçın,TUR,"FW,MF",24.0,32,24,2131.0,23.7,9.0,4.0,13.0,9.0,0.0,0.0,5.0,0.0,0.38,0.17,0.55,0.38,0.55,Matches,Fatih-Karagumruk
Freddie Veseli,ALB,DF,30.0,22,18,1606.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Salvatore Sirigu,ITA,GK,36.0,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Ryan Mendes,CPV,MF,33.0,23,17,1505.0,16.7,4.0,4.0,8.0,4.0,0.0,0.0,5.0,2.0,0.24,0.24,0.48,0.24,0.48,Matches,Fatih-Karagumruk
Sofiane Feghouli,ALG,MF,33.0,25,17,1456.0,16.2,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,0.12,0.06,0.19,0.06,0.12,Matches,Fatih-Karagumruk
Ibrahim Drešević,KVX,DF,26.0,16,15,1366.0,15.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,Fatih-Karagumruk
Nazim Sangaré,TUR,"DF,MF",29.0,25,13,1287.0,14.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches,Fatih-Karagumruk
Salih Dursun,TUR,DF,32.0,21,13,1271.0,14.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Fatih-Karagumruk
Kevin Lasagna,ITA,"FW,MF",30.0,28,13,1186.0,13.2,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.15,0.15,0.3,0.15,0.3,Matches,Fatih-Karagumruk
Matías Dituro,ARG,GK,36.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Emre Bilgin,TUR,GK,19.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Dimitrios Kourbelis,GRE,MF,29.0,12,10,887.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Andrea Bertolacci,ITA,MF,32.0,15,9,766.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Koray Günter,GER,DF,28.0,10,8,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Marcos Vinicius Amaral Alves,BRA,FW,29.0,11,8,671.0,7.5,6.0,1.0,7.0,6.0,0.0,1.0,1.0,0.0,0.8,0.13,0.94,0.8,0.94,Matches,Fatih-Karagumruk
Emre Mor,TUR,"MF,FW",26.0,9,8,667.0,7.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,Fatih-Karagumruk
Serdar Dursun,TUR,FW,31.0,22,6,812.0,9.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.33,0.0,0.33,0.22,0.22,Matches,Fatih-Karagumruk
Flavio Paoletti,ITA,MF,20.0,20,6,705.0,7.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches,Fatih-Karagumruk
Otabek Shukurov,UZB,MF,27.0,15,6,563.0,6.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.16,0.16,0.0,0.16,Matches,Fatih-Karagumruk
Adnan Ugur,BEL,MF,22.0,13,6,544.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Tonio Teklić,CRO,MF,23.0,8,4,306.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches,Fatih-Karagumruk
Stefano Sturaro,ITA,MF,30.0,11,2,315.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.29,0.0,0.29,0.29,0.29,Matches,Fatih-Karagumruk
Kerem Atakan Kesgin,TUR,MF,22.0,5,1,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Emir Tintiş,TUR,DF,19.0,4,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Rayyan Baniya,Unknown,DF,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Adem Ljajić,SRB,FW,31.0,2,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Brahim Darri,NED,"FW,MF",28.0,4,0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Nicholas Anwan,NGA,MF,22.0,3,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Samed Onur,TUR,FW,21.0,5,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fatih-Karagumruk
Hakan Atabey,Unknown,DF,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Fatih-Karagumruk
Furkan Bekleviç,TUR,GK,24.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Fatih-Karagumruk
Adnan Durmusoglu,Unknown,Unknown,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Fatih-Karagumruk
Muhammed Egemen Pehlivan,Unknown,FW,23.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Fatih-Karagumruk
Efecan Mızrakçı,Unknown,DF,19.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Fatih-Karagumruk
Efe Tatlı,Unknown,MF,21.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Fatih-Karagumruk
Ahmet Tugyan,Unknown,FW,18.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Fatih-Karagumruk
Kerem Yandal,Unknown,GK,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Fatih-Karagumruk
Squad Total,Unknown,Unknown,28.8,38,418,3420.0,38.0,47.0,37.0,84.0,45.0,2.0,3.0,96.0,7.0,1.24,0.97,2.21,1.18,2.16,Unknown,Fatih-Karagumruk
Opponent Total,Unknown,Unknown,27.9,38,418,3420.0,38.0,49.0,30.0,79.0,42.0,7.0,9.0,70.0,3.0,1.29,0.79,2.08,1.11,1.89,Unknown,Fatih-Karagumruk
Halil Akbunar,TUR,"MF,FW",29.0,37,35,2788.0,31.0,5.0,3.0,8.0,5.0,0.0,0.0,3.0,1.0,0.16,0.1,0.26,0.16,0.26,Matches,Pendikspor
Nuno Sequeira,POR,DF,32.0,35,34,3066.0,34.1,1.0,3.0,4.0,1.0,0.0,0.0,9.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches,Pendikspor
Erdem Canpolat,GER,GK,22.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Gökcan Kaya,DEN,MF,27.0,34,23,2110.0,23.4,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.09,0.13,0.21,0.09,0.21,Matches,Pendikspor
Arnaud Lusamba,COD,MF,26.0,27,23,2021.0,22.5,0.0,3.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.13,0.13,0.0,0.13,Matches,Pendikspor
Welinton,BRA,DF,34.0,24,23,2012.0,22.4,2.0,1.0,3.0,2.0,0.0,0.0,10.0,3.0,0.09,0.04,0.13,0.09,0.13,Matches,Pendikspor
Fredrik Midtsjø,NOR,MF,29.0,26,22,1928.0,21.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,Pendikspor
Alpaslan Öztürk,TUR,DF,30.0,22,21,1858.0,20.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,Pendikspor
Serkan Asan,TUR,DF,24.0,22,18,1514.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Mame Baba Thiam,SEN,"MF,FW",30.0,17,17,1503.0,16.7,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0,0.36,0.3,0.66,0.3,0.6,Matches,Pendikspor
Erdem Özgenç,TUR,DF,38.0,22,17,1500.0,16.7,1.0,3.0,4.0,0.0,1.0,1.0,3.0,0.0,0.06,0.18,0.24,0.0,0.18,Matches,Pendikspor
Erencan Yardimci,TUR,"FW,MF",21.0,28,15,1401.0,15.6,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.39,0.13,0.51,0.39,0.51,Matches,Pendikspor
Umut Nayir,TUR,FW,30.0,17,15,1221.0,13.6,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.29,0.07,0.37,0.29,0.37,Matches,Pendikspor
Berkay Sülüngöz,TUR,DF,27.0,19,14,1332.0,14.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Pendikspor
Joher Rassoul,SEN,DF,27.0,13,12,1022.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Josip Vuković,CRO,MF,31.0,16,11,1078.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Abdoulay Diaby,MLI,MF,32.0,27,11,1073.0,11.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,Pendikspor
İbrahim Akdağ,TUR,MF,32.0,14,11,934.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Badou Ndiaye,SEN,MF,32.0,11,11,914.0,10.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,Pendikspor
Thuram,BRA,"FW,MF",32.0,18,9,855.0,9.5,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches,Pendikspor
Endri Çekiçi,ALB,MF,26.0,24,9,827.0,9.2,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.11,0.22,0.33,0.11,0.33,Matches,Pendikspor
Murat Akça,TUR,DF,33.0,15,7,692.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Óscar Romero,PAR,"MF,FW",31.0,12,7,684.0,7.6,3.0,0.0,3.0,0.0,3.0,4.0,1.0,0.0,0.39,0.0,0.39,0.0,0.0,Matches,Pendikspor
Emre Taşdemir,TUR,"DF,FW",27.0,12,5,472.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Burak Öğür,TUR,GK,33.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Koka,EGY,FW,30.0,4,3,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Leandro Kappel,SUR,"MF,FW",33.0,18,2,380.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,Pendikspor
Emeka Friday Eze,NGA,FW,26.0,8,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Görkem Bitin,Unknown,FW,25.0,10,1,329.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Aias Aosman,SYR,MF,28.0,1,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Georgios Tzavellas,GRE,DF,35.0,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Efe Sayhan,Unknown,MF,18.0,2,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Hasan Kilic,Unknown,MF,31.0,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Ahmet Kosar,Unknown,Unknown,16.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Umut Toy,Unknown,DF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Pendikspor
Murat Akşit,TUR,GK,21.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Pendikspor
Erdem Çalık,Unknown,MF,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Pendikspor
Melih Güney,Unknown,MF,18.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Pendikspor
Gökdeniz Kara,Unknown,DF,19.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Pendikspor
Enes Keskin,Unknown,MF,22.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Pendikspor
Hakan Tavukcu,Unknown,GK,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Pendikspor
Squad Total,Unknown,Unknown,29.5,38,418,3420.0,38.0,42.0,28.0,70.0,37.0,5.0,7.0,89.0,6.0,1.11,0.74,1.84,0.97,1.71,Unknown,Pendikspor
Opponent Total,Unknown,Unknown,28.0,38,418,3420.0,38.0,71.0,53.0,124.0,67.0,4.0,5.0,91.0,4.0,1.87,1.39,3.26,1.76,3.16,Unknown,Pendikspor
Mehmet Yeşil,TUR,DF,25.0,35,33,2897.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Florian Loshaj,KVX,MF,26.0,33,33,2780.0,30.9,5.0,0.0,5.0,5.0,0.0,0.0,10.0,1.0,0.16,0.0,0.16,0.16,0.16,Matches,Istanbulspor
Ali Yasar,BEL,"DF,MF",28.0,34,29,2531.0,28.1,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.04,0.07,0.11,0.04,0.11,Matches,Istanbulspor
Okan Erdogan,GER,DF,24.0,31,28,2549.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Jackson,BRA,"MF,FW",24.0,36,28,2259.0,25.1,1.0,4.0,5.0,0.0,1.0,2.0,2.0,0.0,0.04,0.16,0.2,0.0,0.16,Matches,Istanbulspor
Simon Deli,CIV,DF,31.0,28,25,2248.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Demeaco Duhaney,ENG,"DF,MF",24.0,27,25,2200.0,24.4,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches,Istanbulspor
Modestas Vorobjovas,LTU,MF,27.0,28,24,2127.0,23.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches,Istanbulspor
Alassane Ndao,SEN,"MF,FW",26.0,21,21,1658.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.05,0.05,0.11,0.05,0.11,Matches,Istanbulspor
Alp Arda,Unknown,GK,28.0,20,20,1782.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Mamadou Mendy,SEN,"FW,MF",24.0,32,19,1751.0,19.5,2.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,0.1,0.15,0.26,0.1,0.26,Matches,Istanbulspor
Muammer Sarıkaya,Unknown,MF,25.0,23,18,1719.0,19.1,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.1,0.05,0.16,0.1,0.16,Matches,Istanbulspor
Emir Kaan Gültekin,TUR,"FW,MF",22.0,30,18,1701.0,18.9,4.0,1.0,5.0,4.0,0.0,1.0,4.0,0.0,0.21,0.05,0.26,0.21,0.26,Matches,Istanbulspor
David Sambissa,GAB,"MF,DF",27.0,25,18,1560.0,17.3,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.06,0.17,0.23,0.06,0.23,Matches,Istanbulspor
David Jensen,DEN,GK,31.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Valon Ethemi,MKD,"MF,FW",25.0,16,14,1207.0,13.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.15,0.07,0.15,Matches,Istanbulspor
Racine Coly,SEN,DF,27.0,22,12,1147.0,12.7,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Istanbulspor
Vefa Temel,FRA,"DF,MF",20.0,25,9,853.0,9.5,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,Istanbulspor
Eduard Rroca,ALB,"MF,FW",30.0,15,9,795.0,8.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.11,0.11,0.23,0.11,0.23,Matches,Istanbulspor
İbrahim Yılmaz,TUR,FW,29.0,8,6,456.0,5.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,Istanbulspor
Djakaridja Traoré,CIV,FW,24.0,16,5,486.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,Istanbulspor
Mücahit Serbest,TUR,GK,18.0,5,4,378.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Özcan Şahan,FRA,MF,24.0,16,2,322.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Emrehan Gedikli,GER,FW,20.0,7,2,289.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,Istanbulspor
Eslem Öztürk,TUR,MF,25.0,8,1,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Baran Vardar,Unknown,DF,18.0,3,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Tunahan Şamdanlı,Unknown,MF,18.0,6,0,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Giannelli Imbula,COD,MF,30.0,4,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
İzzet Topatar,Unknown,MF,21.0,2,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Eren Arda San,Unknown,FW,17.0,6,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Kubilay Köylü,NED,FW,24.0,5,0,30.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,Matches,Istanbulspor
Demir Mermerci,Unknown,MF,16.0,2,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Emir Vurusaner,Unknown,DF,18.0,2,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Muhammet Tekke,Unknown,FW,20.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Istanbulspor
Apostolos Diamantis,GRE,DF,23.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Istanbulspor
Murat Eser,Unknown,GK,18.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Istanbulspor
Bartu Kırtaş,TUR,DF,19.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Istanbulspor
Yasin Polat,Unknown,Unknown,17.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Istanbulspor
Enver Sarıalioğlu,Unknown,MF,19.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Istanbulspor
Jetmir Topalli,KVX,MF,25.0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Matches,Istanbulspor
