Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Khalil Fayad,fr FRA,"FW,MF",19.0,25,12,1140.0,12.7,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.9,1.9,0.5,2.4,18.0,35.0,47.0,0.24,0.0,0.24,0.24,0.24,0.17,0.04,0.21,0.17,0.21,Matches,Montpellier
Enzo Tchato,cm CMR,DF,20.0,17,11,1125.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.6,26.0,46.0,57.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,Matches,Montpellier
Lucas Mincarelli,fr FRA,"DF,MF",19.0,14,12,998.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.4,0.4,0.6,0.9,24.0,26.0,40.0,0.09,0.09,0.18,0.09,0.18,0.03,0.05,0.09,0.03,0.09,Matches,Montpellier
Silvan Hefti,ch SUI,"DF,FW",25.0,14,12,981.0,10.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.0,1.2,14.0,25.0,36.0,0.0,0.09,0.09,0.0,0.09,0.03,0.13,0.15,0.03,0.15,Matches,Montpellier
Tanguy Coulibaly,fr FRA,"FW,MF",22.0,18,9,757.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.6,2.6,0.8,3.3,27.0,13.0,48.0,0.12,0.0,0.12,0.12,0.12,0.37,0.11,0.48,0.37,0.48,Matches,Montpellier
Léo Leroy,fr FRA,MF,23.0,24,5,680.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.7,1.5,8.0,21.0,9.0,0.0,0.13,0.13,0.0,0.13,0.15,0.13,0.28,0.15,0.28,Matches,Montpellier
Théo Sainte-Luce,fr FRA,DF,24.0,8,5,506.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,8.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Montpellier
Kelvin Yeboah,it ITA,FW,23.0,15,1,378.0,4.2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.3,0.7,9.0,5.0,25.0,0.24,0.0,0.24,0.0,0.0,0.15,0.08,0.24,0.15,0.24,Matches,Montpellier
Dimitry Bertaud,cd COD,GK,25.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Montpellier
Yann Karamoh,fr FRA,"FW,MF",25.0,13,2,349.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.0,7.0,3.0,28.0,0.26,0.0,0.26,0.26,0.26,0.26,0.06,0.32,0.26,0.32,Matches,Montpellier
Axel Gueguin,fr FRA,"DF,FW",18.0,6,2,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Montpellier
Sacha Delaye,fr FRA,"MF,FW",21.0,12,0,208.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,2.0,4.0,8.0,0.43,0.0,0.43,0.43,0.43,0.23,0.07,0.3,0.23,0.3,Matches,Montpellier
Othmane Maamma,fr FRA,FW,17.0,2,1,88.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,7.0,2.0,3.0,1.02,0.0,1.02,1.02,1.02,0.27,0.47,0.74,0.27,0.74,Matches,Montpellier
Junior Ndiaye,fr FRA,FW,18.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Montpellier
Yanis Issoufou,fr FRA,MF,16.0,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Montpellier
Elye Wahi,fr FRA,FW,20.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,4.23,0.0,4.23,Matches,Montpellier
Mamadou Sakho,fr FRA,DF,33.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Montpellier
Cheikh Faye,sn SEN,DF,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Montpellier
Téo Allix,fr FRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Montpellier
Belmin Dizdarević,ba BIH,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Montpellier
Théo Chennahi,fr FRA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Montpellier
Antonio Sivera,es ESP,GK,26.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alave
Ander Guevara,es ESP,MF,26.0,40,35,3133.0,34.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.9,1.5,53.0,187.0,37.0,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,Matches,Alave
Andoni Gorosabel,es ESP,DF,26.0,37,33,2865.0,31.8,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.7,0.7,1.3,2.0,58.0,117.0,121.0,0.03,0.0,0.03,0.03,0.03,0.02,0.04,0.06,0.02,0.06,Matches,Alave
Jon Guridi,es ESP,MF,28.0,37,34,2703.0,30.0,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0,3.5,7.5,30.0,117.0,92.0,0.1,0.13,0.23,0.1,0.23,0.13,0.12,0.25,0.13,0.25,Matches,Alave
Luis Rioja,es ESP,"FW,MF",29.0,39,32,2597.0,28.9,5.0,4.0,9.0,2.0,3.0,4.0,4.0,0.0,6.1,3.0,3.9,6.9,70.0,77.0,173.0,0.17,0.14,0.31,0.07,0.21,0.22,0.14,0.36,0.11,0.25,Matches,Alave
Rafa Marín,es ESP,DF,21.0,35,28,2547.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,0.3,1.0,13.0,77.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Alave
Antonio Blanco,es ESP,MF,23.0,36,31,2537.0,28.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.8,0.8,1.2,2.1,20.0,133.0,22.0,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,Matches,Alave
Javi López,es ESP,DF,21.0,34,26,2497.0,27.7,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,3.0,4.0,53.0,92.0,120.0,0.04,0.11,0.14,0.04,0.14,0.04,0.11,0.15,0.04,0.15,Matches,Alave
Abdel Abqar,ma MAR,DF,24.0,27,27,2312.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,Alave
Rubén Duarte,es ESP,DF,27.0,32,25,2202.0,24.5,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,0.7,0.7,1.5,2.2,16.0,81.0,39.0,0.12,0.04,0.16,0.12,0.16,0.03,0.07,0.1,0.03,0.1,Matches,Alave
Samu Omorodion,es ESP,FW,19.0,35,22,2008.0,22.3,8.0,1.0,9.0,8.0,0.0,0.0,6.0,0.0,10.8,10.8,1.3,12.0,30.0,18.0,100.0,0.36,0.04,0.4,0.36,0.4,0.51,0.06,0.56,0.51,0.56,Matches,Alave
Alex Sola,es ESP,"FW,MF",24.0,33,18,1581.0,17.6,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,2.3,3.9,40.0,42.0,103.0,0.0,0.23,0.23,0.0,0.23,0.12,0.16,0.28,0.12,0.28,Matches,Alave
Kiké,es ESP,"FW,MF",33.0,35,16,1529.0,17.0,3.0,2.0,5.0,3.0,0.0,1.0,3.0,0.0,7.7,6.9,2.0,8.9,18.0,32.0,97.0,0.18,0.12,0.29,0.18,0.29,0.49,0.13,0.61,0.44,0.56,Matches,Alave
Nahuel Tenaglia,ar ARG,DF,27.0,29,15,1487.0,16.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,0.5,1.2,17.0,45.0,24.0,0.06,0.06,0.12,0.06,0.12,0.05,0.04,0.09,0.05,0.09,Matches,Alave
Carlos Benavídez,uy URU,MF,25.0,32,13,1406.0,15.6,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,1.0,1.0,0.5,1.5,9.0,60.0,5.0,0.26,0.06,0.32,0.26,0.32,0.08,0.04,0.12,0.08,0.12,Matches,Alave
Carlos Vicente,es ESP,FW,24.0,19,13,1203.0,13.4,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,2.3,2.3,3.7,6.0,23.0,23.0,82.0,0.15,0.3,0.45,0.15,0.45,0.19,0.3,0.49,0.19,0.49,Matches,Alave
Ianis Hagi,ro ROU,"MF,FW",24.0,26,10,1006.0,11.2,2.0,2.0,4.0,2.0,0.0,1.0,3.0,0.0,2.8,2.0,2.0,4.0,17.0,32.0,58.0,0.18,0.18,0.36,0.18,0.36,0.31,0.22,0.53,0.22,0.44,Matches,Alave
Aleksandar Sedlar,rs SRB,DF,31.0,11,11,946.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.3,6.0,26.0,1.0,0.1,0.0,0.1,0.1,0.1,0.03,0.01,0.03,0.03,0.03,Matches,Alave
Abderrahman Rebbach,dz ALG,"FW,MF",24.0,26,7,821.0,9.1,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,0.8,0.8,1.8,2.6,34.0,14.0,78.0,0.33,0.22,0.55,0.33,0.55,0.1,0.22,0.33,0.1,0.33,Matches,Alave
Giuliano Simeone,ar ARG,FW,20.0,16,7,720.0,8.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.4,1.6,2.0,3.6,25.0,24.0,47.0,0.12,0.25,0.37,0.12,0.37,0.34,0.29,0.63,0.23,0.52,Matches,Alave
Jesús Owono,gq EQG,GK,22.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alave
Xeber,es ESP,"FW,MF",26.0,14,6,555.0,6.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.4,0.4,0.6,1.0,6.0,6.0,30.0,0.49,0.32,0.81,0.49,0.81,0.11,0.19,0.3,0.11,0.3,Matches,Alave
Joaquín Panichelli,ar ARG,"FW,MF",20.0,8,2,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,3.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.22,0.04,0.26,0.22,0.26,Matches,Alave
Nikola Maraš,rs SRB,DF,27.0,3,2,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Alave
Victor Parada,es ESP,"FW,MF",21.0,4,2,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alave
Jon Karrikaburu,es ESP,"MF,FW",20.0,4,2,179.0,2.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.51,0.0,1.51,1.51,1.51,0.0,0.0,0.0,0.0,0.0,Matches,Alave
Selu Diallo,es ESP,MF,19.0,3,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Alave
Unai Ropero,es ESP,MF,21.0,2,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alave
Miguel,es ESP,"FW,MF",23.0,3,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,Alave
Tomás Mendes,es ESP,MF,18.0,2,0,51.0,0.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,3.53,0.0,3.53,0.0,0.0,0.0,0.0,0.0,Matches,Alave
Mamadou Sylla,sn SEN,"FW,MF",29.0,2,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alave
Eneko Ortiz,es ESP,DF,20.0,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alave
José de León,do DOM,MF,19.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Alave
Joseda,es ESP,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alave
George Gagua,ge GEO,FW,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alave
Adrian Rodriguez,es ESP,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alave
Egoitz Muñoz,es ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alave
Ander Sánchez,es ESP,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alave
Gaizka García,es ESP,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alave
Rubén Montero,es ESP,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alave
Álvaro García,es ESP,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alave
Max Kilman,eng ENG,DF,26.0,44,44,3980.0,44.2,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,1.8,1.8,1.4,3.2,22.0,117.0,5.0,0.05,0.02,0.07,0.05,0.07,0.05,0.04,0.08,0.05,0.08,Matches,Wolverhampton-Wanderer
José Sá,pt POR,GK,30.0,40,40,3517.0,39.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,Wolverhampton-Wanderer
Nélson Semedo,pt POR,"DF,MF",29.0,41,40,3475.0,38.6,1.0,1.0,2.0,1.0,0.0,0.0,11.0,1.0,1.3,1.3,1.7,3.0,103.0,138.0,150.0,0.03,0.03,0.05,0.03,0.05,0.04,0.05,0.09,0.04,0.09,Matches,Wolverhampton-Wanderer
Toti Gomes,pt POR,DF,24.0,42,38,3401.0,37.8,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,1.6,1.6,1.2,2.8,22.0,79.0,11.0,0.05,0.08,0.13,0.05,0.13,0.05,0.04,0.09,0.05,0.09,Matches,Wolverhampton-Wanderer
Mario Lemina,ga GAB,MF,29.0,39,37,3254.0,36.2,5.0,1.0,6.0,5.0,0.0,0.0,12.0,1.0,4.6,4.6,1.5,6.2,32.0,76.0,49.0,0.14,0.03,0.17,0.14,0.17,0.14,0.05,0.19,0.14,0.19,Matches,Wolverhampton-Wanderer
João Gomes,br BRA,MF,22.0,38,35,2854.0,31.7,2.0,1.0,3.0,2.0,0.0,0.0,11.0,1.0,1.7,1.7,1.1,2.8,28.0,101.0,44.0,0.06,0.03,0.09,0.06,0.09,0.06,0.04,0.1,0.06,0.1,Matches,Wolverhampton-Wanderer
Matheus Cunha,br BRA,"FW,MF",24.0,36,32,2758.0,30.6,14.0,8.0,22.0,12.0,2.0,2.0,10.0,0.0,9.5,8.7,3.2,11.9,107.0,87.0,139.0,0.46,0.26,0.72,0.39,0.65,0.35,0.12,0.47,0.32,0.44,Matches,Wolverhampton-Wanderer
Rayan Aït-Nouri,dz ALG,"DF,MF",22.0,38,32,2654.0,29.5,3.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,3.3,3.3,2.4,5.6,67.0,99.0,99.0,0.1,0.07,0.17,0.1,0.17,0.13,0.09,0.22,0.13,0.22,Matches,Wolverhampton-Wanderer
Craig Dawson,eng ENG,DF,33.0,28,26,2312.0,25.7,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.5,1.5,1.4,2.9,1.0,49.0,4.0,0.04,0.04,0.08,0.04,0.08,0.06,0.06,0.12,0.06,0.12,Matches,Wolverhampton-Wanderer
Hwang Hee-chan,kr KOR,"FW,MF",27.0,31,27,2242.0,24.9,13.0,3.0,16.0,12.0,1.0,1.0,7.0,0.0,7.7,6.9,3.0,9.9,37.0,37.0,120.0,0.52,0.12,0.64,0.48,0.6,0.33,0.13,0.45,0.29,0.42,Matches,Wolverhampton-Wanderer
Pablo Sarabia,es ESP,"MF,FW",31.0,36,25,2160.0,24.0,4.0,10.0,14.0,2.0,2.0,2.0,7.0,0.0,5.5,3.9,5.9,9.8,41.0,109.0,137.0,0.17,0.42,0.58,0.08,0.5,0.28,0.3,0.59,0.2,0.5,Matches,Wolverhampton-Wanderer
Tommy Doyle,eng ENG,MF,21.0,32,17,1756.0,19.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.9,21.0,81.0,17.0,0.05,0.0,0.05,0.05,0.05,0.03,0.03,0.06,0.03,0.06,Matches,Wolverhampton-Wanderer
Pedro Neto,pt POR,"FW,MF",23.0,24,19,1728.0,19.2,3.0,10.0,13.0,3.0,0.0,0.0,5.0,0.0,3.5,3.5,4.4,7.9,98.0,54.0,149.0,0.16,0.52,0.68,0.16,0.68,0.21,0.26,0.47,0.21,0.47,Matches,Wolverhampton-Wanderer
Matt Doherty,ie IRL,"DF,MF",31.0,37,15,1687.0,18.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,0.8,0.8,1.3,2.2,12.0,31.0,64.0,0.16,0.05,0.21,0.16,0.21,0.07,0.1,0.17,0.07,0.17,Matches,Wolverhampton-Wanderer
Santiago Bueno,uy URU,DF,24.0,17,14,1302.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Wolverhampton-Wanderer
Jean-Ricner Bellegarde,fr FRA,"MF,FW",25.0,26,14,1260.0,14.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.6,1.6,1.0,2.5,30.0,39.0,49.0,0.14,0.07,0.21,0.14,0.21,0.15,0.09,0.24,0.15,0.24,Matches,Wolverhampton-Wanderer
Boubacar Traoré,ml MLI,MF,21.0,27,9,1014.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.4,0.7,9.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,Wolverhampton-Wanderer
Hugo Bueno,es ESP,"DF,MF",20.0,26,8,848.0,9.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.8,1.0,22.0,8.0,40.0,0.11,0.0,0.11,0.11,0.11,0.03,0.09,0.13,0.03,0.13,Matches,Wolverhampton-Wanderer
Daniel Bentley,eng ENG,GK,30.0,7,5,563.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Wolverhampton-Wanderer
Fábio Silva,pt POR,FW,21.0,10,4,376.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.2,5.0,10.0,13.0,0.24,0.0,0.24,0.24,0.24,0.35,0.07,0.42,0.35,0.42,Matches,Wolverhampton-Wanderer
Nathan Fraser,ie IRL,FW,18.0,11,2,355.0,3.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,1.0,2.0,21.0,0.51,0.25,0.76,0.51,0.76,0.16,0.04,0.19,0.16,0.19,Matches,Wolverhampton-Wanderer
Sasa Kalajdzic,at AUT,FW,26.0,13,3,287.0,3.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.0,1.0,5.0,9.0,0.94,0.31,1.25,0.94,1.25,0.57,0.52,1.09,0.57,1.09,Matches,Wolverhampton-Wanderer
Leon Chiwome,eng ENG,FW,17.0,4,2,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,Wolverhampton-Wanderer
Jonny Castro,es ESP,MF,29.0,3,2,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Wolverhampton-Wanderer
Matheus Nunes,pt POR,MF,24.0,2,2,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.1,0.2,7.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches,Wolverhampton-Wanderer
Tawanda Chirewa,zw ZIM,"MF,FW",19.0,10,1,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,Matches,Wolverhampton-Wanderer
Joseph Hodge,ie IRL,MF,20.0,2,2,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Wolverhampton-Wanderer
Harvey Griffiths,eng ENG,MF,19.0,1,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Wolverhampton-Wanderer
Alfie Pond,eng ENG,DF,19.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,Wolverhampton-Wanderer
Enso Gonzalez,py PAR,"MF,DF",18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Wolverhampton-Wanderer
Yerson Mosquera,co COL,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Justin Hubner,id IDN,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Ty Barnett,eng ENG,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Owen Hesketh,wls WAL,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Noha Lemina,fr FRA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Matthew Whittingham,eng ENG,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Tom King,wls WAL,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Temple Ojinnaka,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Fletcher Holman,eng ENG,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Aaron Keto-Diyawa,eng ENG,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Emilio Ballard-Matthews,,FW,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Wesley Okoduwa,eng ENG,FW,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Wolverhampton-Wanderer
Sergio Herrera,es ESP,GK,30.0,33,33,2959.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasun
Jesús Areso,es ESP,DF,24.0,40,31,2872.0,31.9,1.0,7.0,8.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,3.6,3.8,78.0,106.0,180.0,0.03,0.22,0.25,0.03,0.25,0.01,0.12,0.13,0.01,0.13,Matches,Osasun
Catena,es ESP,DF,28.0,32,30,2679.0,29.8,1.0,3.0,4.0,1.0,0.0,0.0,9.0,2.0,1.3,1.3,1.0,2.4,5.0,77.0,1.0,0.03,0.1,0.13,0.03,0.13,0.05,0.04,0.08,0.05,0.08,Matches,Osasun
Ante Budimir,hr CRO,FW,32.0,36,31,2636.0,29.3,17.0,2.0,19.0,14.0,3.0,4.0,5.0,0.0,14.2,11.1,1.8,12.9,21.0,42.0,99.0,0.58,0.07,0.65,0.48,0.55,0.53,0.07,0.59,0.41,0.48,Matches,Osasun
David García,es ESP,DF,29.0,30,30,2634.0,29.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1.3,2.2,21.0,133.0,4.0,0.0,0.03,0.03,0.0,0.03,0.04,0.05,0.09,0.04,0.09,Matches,Osasun
